INSTNM,CITY,STABBR,PREDDEG,CONTROL,LOCALE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,NPT4_PUB,NPT4_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6
The Art Institute of Fort Lauderdale,Fort Lauderdale,FL,2,3,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1924,0.1996,0.198,0.3591,0.013,0.001,0.0005,0,0.001,0.2277,0.422,NULL,25244,0.6043,0.6667,NULL,0.5556,NULL,0.7892,0.4132,31945,354.6549873,0.555100521,0.421302133,NULL,29500,0.476522833
Atlantic Technical Center,Coconut Creek,FL,1,1,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,902,0.2694,0.4135,0.2605,0.0299,0.0055,0.0044,0.0166,0,0,0,6910,NULL,0.127,NULL,0.5583,NULL,NULL,0,0.5044,NULL,NULL,NULL,NULL,0.52267894,33200,0.482300878
The Baptist College of Florida,Graceville,FL,3,2,32,515,435,NULL,24,23,22,NULL,1062,0,499,0.8277,0.0441,0.0381,0.002,0.008,0.002,0.0261,0,0.0521,0.2285,NULL,9766,0.6292,0.8333,NULL,NULL,NULL,0.6105,0.3531,19188,213.0261354,0.832535885,0.48647027,NULL,29900,0.489208639
Barry University,Miami,FL,3,2,21,470,470,450,19,19,19,NULL,930,0,4284,0.2017,0.32,0.2937,0.0135,0.0028,0.0012,0.0128,0.0721,0.0822,0.1615,NULL,20129,0.5181,0.5997,NULL,0.6667,NULL,0.7424,0.4361,29884,331.7736622,0.74662513,0.390019907,NULL,45300,0.712097228
Barry University Law School,Orlando,FL,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29884,331.7736622,0.74662513,NULL,NULL,45300,0.712097228
Gooding Institute of Nurse Anesthesia,Panama City,FL,4,3,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL,NULL,NULL
Bethune-Cookman University,Daytona Beach,FL,3,2,13,415,405,NULL,17,16,17,NULL,812,0,3723,0.0223,0.895,0.0282,0.0021,0.0008,0.0027,0.0185,0.0158,0.0145,0.0304,NULL,17057,0.7762,0.6298,NULL,0,NULL,0.9369,0.0647,35650,395.7880825,0.381695268,0.469190244,NULL,28700,0.405607462
Lynn University,Boca Raton,FL,3,2,13,465,470,460,20,20,20,7,940,0,1732,0.3915,0.101,0.1253,0.0162,0.0087,0.0012,0,0.2385,0.1178,0.0572,NULL,33074,0.2004,0.6925,NULL,1,NULL,0.3005,0.1064,19500,216.489975,0.763537906,0.407421111,NULL,35500,0.602822602
GUTI The Premier Beauty & Wellness Academy,Bradenton,FL,1,3,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,129,0.4574,0.1473,0.3256,0,0.0078,0,0.0078,0.0543,0,0,NULL,12644,0.4783,NULL,0.8214,NULL,NULL,0.2652,0.4961,6469.5,71.82471248,0.287671233,NULL,0.8691,PrivacySuppressed,0.272727281
Bradford-Union Technical Center,Starke,FL,1,1,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,139,0.7698,0.223,0,0,0,0.0072,0,0,0,0.1367,3765,NULL,0.3444,NULL,0.1807,NULL,0.1111,0,0.55,NULL,NULL,NULL,NULL,0.378707721,PrivacySuppressed,0.328125
Eastern Florida State College,Cocoa,FL,2,1,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,12736,0.6892,0.1247,0.1058,0.0188,0.0067,0.0032,0.028,0.0086,0.0149,0.5799,6953,NULL,0.3662,NULL,NULL,NULL,NULL,0.205,0.3439,8736,96.9875088,0.545397026,0.4493,NULL,28700,0.446219385
Broward College,Fort Lauderdale,FL,2,1,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,39162,0.2048,0.3477,0.3383,0.0271,0.0018,0.0023,0.016,0.0262,0.0357,0.6793,8286,NULL,0.5013,NULL,NULL,NULL,NULL,0.1764,0.3695,7000,77.71435,0.623975183,0.301473018,NULL,33400,0.525868058
Fortis College-Winter Park,Winter Park,FL,1,3,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,59,0.1525,0.6441,0.1864,0,0,0,0.0169,0,0,0,NULL,27342,0.5057,NULL,0.7857,NULL,NULL,0.5547,0.5593,13875,154.0409438,0.38722966,NULL,0.515947893,20900,0.336585373
Carlos Albizu University-Miami,Miami,FL,3,2,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,263,0.019,0.0266,0.8935,0.0076,0.0038,0,0,0,0.0494,0.4411,NULL,15330,0.6273,1,NULL,0.8571,NULL,0.7205,0.6701,18890,209.7177245,0.627272727,0.268290244,NULL,24900,0.48859936
College of Central Florida,Ocala,FL,2,1,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,7113,0.6021,0.1442,0.1258,0.0164,0.0031,0.001,0,0.0115,0.0957,0.6007,8059,NULL,0.5431,NULL,NULL,NULL,NULL,0.4125,0.4019,10626,117.9703833,0.486849795,0.409895545,NULL,29700,0.471776992
Johnson University Florida,Kissimmee,FL,3,2,21,500,470,NULL,21,NULL,NULL,NULL,970,0,299,0.6455,0.1171,0.1873,0.0067,0,0,0.0033,0,0.0401,0.2241,NULL,21830,0.5267,0.7468,NULL,0,NULL,0.7861,0.2185,23543,261.3755632,0.64028777,0.391922973,NULL,29500,0.445652187
University of Central Florida,Orlando,FL,3,1,21,585,595,560,26,NULL,NULL,NULL,1175,0,50919,0.5718,0.1056,0.2158,0.0559,0.0022,0.0025,0.029,0.0095,0.0077,0.2911,14048,NULL,0.3771,0.8711,NULL,0.7843,NULL,0.4547,0.2083,18500,205.387925,0.852875489,0.661416477,NULL,43000,0.692595363
Charlotte Technical Center,Port Charlotte,FL,1,1,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,225,0.6844,0.1244,0.1067,0.0311,0.0089,0,0.0444,0,0,0,12340,NULL,0.5688,NULL,0.816,NULL,NULL,0,0.1746,NULL,NULL,NULL,NULL,0.612043103,20000,0.578947365
Chipola College,Marianna,FL,2,1,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1635,0.7309,0.1884,0.0428,0.0043,0.0061,0.0006,0.0245,0,0.0024,0.444,3926,NULL,0.4229,NULL,NULL,NULL,NULL,0.0588,0.2588,5812,64.5251146,0.553846154,0.474644478,NULL,29700,0.456431538
Clearwater Christian College,Clearwater,FL,3,2,12,520,500,NULL,22,23,21,NULL,1026,0,491,0.7943,0.0448,0.1202,0.0163,0,0,0.0143,0.0102,0,0.0346,NULL,17476,0.5142,0.5826,NULL,NULL,NULL,0.5911,0.0343,19375,215.1022188,0.891666667,0.46966901,NULL,34700,0.573913038
Lorenzo Walker Institute of Technology,Naples,FL,1,1,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,614,0.3746,0.1075,0.4967,0.0098,0,0,0.0114,0,0,0.5,12272,NULL,0.2054,NULL,0.8261,NULL,0.8,0,0.2345,NULL,NULL,NULL,NULL,0.71906858,32800,0.554838717
Daytona State College,Daytona Beach,FL,2,1,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,12993,0.687,0.1338,0.122,0.0209,0.0053,0.0022,0.0139,0.0042,0.0106,0.5607,7150,NULL,0.4909,NULL,NULL,NULL,NULL,0.3586,0.4128,9323,103.5044122,0.484981796,0.328523712,NULL,27000,0.444702238
South University-West Palm Beach,Royal Palm Beach,FL,3,3,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,972,0.2695,0.4012,0.2479,0.0401,0.0021,0.0113,0.0123,0,0.0154,0.5195,NULL,24052,0.6996,0.2609,NULL,0.3333,NULL,0.7803,0.6567,27167,301.6093924,0.349280501,0.173950435,NULL,29800,0.606406331
Eckerd College,Saint Petersburg,FL,3,2,12,565,555,NULL,26,25,26,NULL,1138,0,2163,0.7614,0.0559,0.0791,0.0148,0.006,0.0018,0.0273,0.0393,0.0143,0.1026,NULL,29864,0.2341,0.8321,NULL,0.25,NULL,0.706,0.1859,27000,299.75535,0.81195757,0.631147266,NULL,40800,0.603318274
Edison State College,Fort Myers,FL,2,1,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,12850,0.5377,0.1237,0.2525,0.0174,0.0038,0.0021,0.0119,0.016,0.035,0.6329,11702,NULL,0.3995,NULL,NULL,NULL,NULL,0.2507,0.356,9750,108.2449875,0.611968385,0.295255712,NULL,32300,0.556291401
Edward Waters College,Jacksonville,FL,3,2,11,395,400,385,17,16,17,NULL,802,0,862,0.0267,0.9211,0.022,0,0.0023,0,0.0151,0.0012,0.0116,0.0197,NULL,12443,0.841,0.509,NULL,NULL,NULL,0.8214,0.1961,31959,354.810416,0.27027027,0.213902778,NULL,25600,0.337801605
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,3,2,13,530,575,520,24,23,25,NULL,1105,0,4666,0.5332,0.0574,0.0705,0.0463,0.0047,0.0024,0.0437,0.1595,0.0823,0.0667,NULL,34497,0.3103,0.778,NULL,0.4,NULL,0.5962,0.1423,26000,288.6533,0.865240345,0.57634,NULL,60900,0.773428679
Florida Agricultural and Mechanical University,Tallahassee,FL,3,1,12,475,465,450,20,20,20,7,947,0,8825,0.031,0.9411,0.0113,0.0071,0.0015,0,0.0003,0.0076,0,0.091,11905,NULL,0.6445,0.8152,NULL,0.2857,NULL,0.7476,0.1072,27274.5,302.8028627,0.569454205,0.403675606,NULL,37300,0.536938667
Florida Atlantic University,Boca Raton,FL,3,1,13,520,525,515,22,22,22,7,1039,0,24685,0.4638,0.1871,0.2488,0.0393,0.0015,0.0016,0.0298,0.0152,0.0129,0.3694,13242,NULL,0.3999,0.765,NULL,0.6754,NULL,0.3996,0.2812,17250,191.5103625,0.788629979,0.410684441,NULL,41400,0.661774814
Florida State College at Jacksonville,Jacksonville,FL,2,1,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,25018,0.4775,0.2692,0.0651,0.035,0.0038,0.0055,0.0179,0.0071,0.119,0.6532,7460,NULL,0.3871,NULL,NULL,NULL,NULL,0.3839,0.4543,9000,99.91845,0.559972701,0.339007054,NULL,32100,0.521884859
Flagler College-St Augustine,Saint Augustine,FL,3,2,23,560,555,545,23,24,23,NULL,1096,0,2839,0.7584,0.0395,0.0814,0.006,0.0039,0.0007,0.0257,0.0335,0.0511,0.0328,NULL,21011,0.2922,0.6687,NULL,NULL,NULL,0.6073,0.1011,23638,262.4302579,0.882969432,0.638818511,NULL,37200,0.614349782
Florida College,Temple Terrace,FL,2,2,21,530,515,NULL,23,24,22,NULL,1060,0,558,0.7993,0.0556,0.0556,0.0054,0.0161,0.0036,0.0484,0.0125,0.0036,0.0448,NULL,19028,0.3729,0.672,NULL,1,NULL,0.6441,0.0448,12000,133.2246,0.887417219,0.532895395,NULL,36900,0.593073606
Concorde Career Institute-Jacksonville,Jacksonville,FL,1,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,630,0.3508,0.3635,0.0143,0.0397,0.0095,0.0063,0.1238,0,0.0921,0,NULL,21114,0.3982,NULL,0.7048,NULL,NULL,0.4515,0.6857,9500,105.469475,0.418062637,NULL,0.679519243,20700,0.321759254
Concorde Career Institute-Miramar,Miramar,FL,1,3,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,508,0.0827,0.5551,0.2343,0.0295,0.0098,0.0039,0.0335,0,0.0512,0,NULL,18324,0.4658,NULL,0.713,NULL,NULL,0.5396,0.4823,9500,105.469475,0.484749455,NULL,0.73387551,22500,0.380208343
Concorde Career Institute-Tampa,Tampa,FL,1,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,454,0.2555,0.2885,0.2379,0.022,0.0066,0.0066,0.0419,0,0.141,0,NULL,19779,0.3784,NULL,0.6393,NULL,NULL,0.4473,0.6542,9485,105.3029443,0.539888683,NULL,0.727244773,23900,0.321503133
Adventist University of Health Sciences,Orlando,FL,3,2,12,439,439,NULL,19,18,17,NULL,884,0,2064,0.4748,0.1434,0.2016,0.0562,0.0039,0.0044,0.0199,0.0048,0.0911,0.7108,NULL,18901,0.3595,0.7143,NULL,0,NULL,0.5668,0.6056,20730,230.1454965,0.840851064,0.346120513,NULL,51100,0.807495713
Florida Institute of Technology,Melbourne,FL,3,2,13,555,590,NULL,26,25,26,NULL,1153,0,3191,0.4253,0.0526,0.0611,0.0185,0.0009,0.0013,0.0229,0.3027,0.1147,0.0401,NULL,30624,0.2414,0.7974,NULL,0,NULL,0.459,0.0866,26158,290.4074239,0.572869955,0.544826415,NULL,53100,0.734306574
Florida Institute of Ultrasound Inc,Pensacola,FL,1,3,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,68,0.9265,0.0441,0,0.0294,0,0,0,0,0,0,NULL,NULL,0.4324,NULL,NULL,NULL,NULL,0.7027,0.5588,16000,177.6328,0.898876404,NULL,NULL,47900,0.741176486
Florida International University,Miami,FL,3,1,21,580,570,560,26,25,25,NULL,1154,0,38234,0.1007,0.1221,0.6705,0.0269,0.0008,0.0014,0.018,0.0472,0.0124,0.3293,12266,NULL,0.5809,0.8354,NULL,0.6573,NULL,0.456,0.2698,17750,197.0613875,0.781070862,0.500913288,NULL,45100,0.676269293
Florida Keys Community College,Key West,FL,2,1,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,964,0.6027,0.0871,0.2344,0.0156,0.0073,0,0.0176,0.0041,0.0311,0.5705,12251,NULL,0.3144,NULL,0.5817,NULL,0.4268,0.1502,0.3872,10500,116.571525,0.604651163,NULL,0.342854286,27100,0.444915265
Florida Memorial University,Miami Gardens,FL,3,2,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1517,0.0046,0.7423,0.0409,0.0013,0,0,0.0105,0.0989,0.1015,0.0679,NULL,16493,0.8975,0.6877,NULL,0.75,NULL,0.9209,0.1938,44500,494.041225,0.288409704,0.404415339,NULL,27700,0.422399998
Florida Career College-Miami,Miami,FL,1,3,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5818,0.1253,0.4605,0.2958,0.0057,0.0009,0.0014,0.006,0,0.1045,0,NULL,41874,0.7804,0.5556,NULL,NULL,NULL,0.8098,0.6511,9500,105.469475,0.297611362,0.538942072,NULL,34300,0.364456981
Florida School of Massage,Gainesville,FL,1,3,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,70,0.8286,0.0857,0.0571,0.0143,0,0,0,0.0143,0,0.0143,NULL,15515,0.6205,NULL,NULL,NULL,NULL,0.7232,0.6143,7073,78.52479965,0.62195122,NULL,0.814826667,NULL,NULL
Florida Southern College,Lakeland,FL,3,2,13,540,545,530,25,24,24,NULL,1102,0,2379,0.7243,0.0593,0.0925,0.0164,0.0017,0.0013,0.0399,0.0542,0.0105,0.1072,NULL,21558,0.3293,0.778,NULL,NULL,NULL,0.655,0.1291,25000,277.55125,0.824582339,0.565856228,NULL,37600,0.620933533
Florida State University,Tallahassee,FL,3,1,12,600,595,600,27,NULL,NULL,NULL,1212,0,32086,0.667,0.085,0.1704,0.0251,0.0038,0.0018,0.0228,0.0104,0.0137,0.1052,14691,NULL,0.3065,0.9171,NULL,0.6897,NULL,0.465,0.0681,21000,233.14305,0.856627809,0.75999095,NULL,44000,0.688732862
Florida Technical College,Orlando,FL,1,3,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,4330,0.2143,0.1942,0.5487,0.0039,0.009,0.0012,0.0192,0.0005,0.009,0,NULL,14055,0.7751,0.9103,NULL,NULL,NULL,0.7045,0.6067,12270,136.2221535,0.396583564,0.602,NULL,26900,0.388387084
University of Southernmost Florida,Jacksonville,FL,2,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,99,0.0505,0.202,0.7172,0.0202,0,0,0.0101,0,0,0,NULL,8580,0.8968,NULL,NULL,NULL,NULL,1,0.8384,15525,172.3593263,0.363112392,0.1477,NULL,29800,0.386206895
University of Southernmost Florida-Coral Gables Campus,Coral Gables,FL,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15525,172.3593263,0.363112392,NULL,NULL,NULL,NULL
University of Florida,Gainesville,FL,3,1,12,625,640,625,29,29,28,9,1272,0,32346,0.5843,0.074,0.1902,0.0754,0.0026,0.007,0.0282,0.0105,0.0277,0.0709,12582,NULL,0.3207,0.9646,NULL,0.8235,NULL,0.3506,0.0561,15132.5,168.0017716,0.878139535,0.858173311,NULL,51300,0.726706922
Everest University-Pompano Beach,Pompano Beach,FL,1,3,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1746,0.1793,0.6661,0.0876,0.0046,0.0029,0.0006,0.0218,0.0023,0.0349,0.3814,NULL,22488,0.8336,0.2174,NULL,0,NULL,0.7006,0.7285,9500,105.469475,0.254572056,0.384895328,NULL,30000,0.430358171
Fort Pierce Beauty Academy,Fort Pierce,FL,1,3,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,28,0.2143,0.5714,0.1786,0,0.0357,0,0,0,0,0.1429,NULL,6961,0.9032,NULL,0.1852,NULL,0.5,0,0.3571,NULL,NULL,NULL,NULL,0.980788462,15500,0.183856502
Full Sail University,Winter Park,FL,3,3,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,18880,0.3795,0.2155,0.0748,0.0125,0.0065,0.0022,0.1297,0.024,0.1553,0,NULL,29945,0.635,0.5023,NULL,NULL,NULL,0.7993,0.4913,30843,342.4205282,0.57482499,0.785378357,NULL,34100,0.554998934
George Stone Technical Center,Pensacola,FL,1,1,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,675,0.603,0.2948,0.0267,0.0222,0.0133,0.0074,0.0326,0,0,0.1763,8913,NULL,0.39,NULL,0.9063,NULL,0.9767,0,0.6193,NULL,NULL,NULL,NULL,0.4676,21500,0.378881991
George T Baker Aviation School,Miami,FL,1,1,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,710,0.0958,0.131,0.762,0.0056,0.0014,0,0.0028,0,0.0014,0.5479,2392,NULL,0.2769,NULL,0.5537,NULL,0.4526,0,0.4366,NULL,NULL,NULL,NULL,0.861867105,40300,0.703389823
Gulf Coast State College,Panama City,FL,2,1,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,3643,0.7354,0.1156,0.0554,0.0266,0.0049,0,0.0327,0.0011,0.0283,0.5446,5057,NULL,0.4284,NULL,NULL,NULL,NULL,0.1821,0.4253,6985,77.54781925,0.589350181,0.348882822,NULL,29900,0.46069181
Key College,Dania Beach,FL,2,3,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,68,0.5882,0.2206,0.1912,0,0,0,0,0,0,0,NULL,17195,0.4615,NULL,0.6296,NULL,NULL,0.9615,0.6471,PrivacySuppressed,PrivacySuppressed,0.605263158,NULL,0.5,33000,0.5
Hillsborough Community College,Tampa,FL,2,1,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,23596,0.3685,0.1769,0.2578,0.0271,0.0047,0.0024,0.0206,0.0286,0.1135,0.5253,5776,NULL,0.4309,NULL,0.6261,NULL,0.4908,0.5495,0.3755,10000,111.0205,0.567505193,NULL,0.344305619,32500,0.529304028
Hobe Sound Bible College,Hobe Sound,FL,3,2,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,194,0.8144,0.0979,0.0155,0,0,0,0,0.0361,0.0361,0.5103,NULL,9956,0.5467,0.6667,NULL,NULL,NULL,0.2533,0.575,PrivacySuppressed,PrivacySuppressed,0.71875,0.413806897,NULL,PrivacySuppressed,PrivacySuppressed
Hollywood Institute of Beauty Careers,Hollywood,FL,1,3,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,73,0.1233,0.7534,0.1233,0,0,0,0,0,0,0,NULL,19052,1,NULL,0.7191,NULL,NULL,0.8262,0.6164,6333,70.30928265,0.603092784,NULL,0.887223308,NULL,NULL
Cortiva Institute-Florida,Pinellas Park,FL,1,3,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,173,0.6358,0.1156,0.1156,0.0751,0.0173,0.0058,0.0289,0,0.0058,0.3757,NULL,19896,0.474,NULL,NULL,NULL,NULL,0.6678,0.5723,7917,87.89492985,0.689873418,NULL,0.784803797,25700,0.418478251
Indian River State College,Fort Pierce,FL,2,1,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,13993,0.5737,0.1831,0.166,0.0143,0.002,0.0024,0.0168,0.0124,0.0292,0.6194,1918,NULL,0.399,NULL,NULL,NULL,NULL,0.1298,0.3718,7750,86.0408875,0.556070436,0.408439027,NULL,28700,0.457350284
International Academy of Design and Technology-Tampa,Tampa,FL,3,3,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,474,0.3819,0.2426,0.1835,0.0127,0.0084,0.0084,0.0401,0,0.1224,0.1624,NULL,17088,0.6545,0.6,NULL,0.3571,NULL,0.8545,0.5084,29375,326.1227188,0.388268499,0.289276882,NULL,27800,0.466301501
International Academy,South Daytona,FL,1,3,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,257,0.463,0.4202,0.0973,0.0117,0,0,0,0.0078,0,0.5953,NULL,15411,0.6736,NULL,0.9016,NULL,0.8438,0.6829,0.5798,9500,105.469475,0.351758794,NULL,0.667995753,17600,0.223684207
AI Miami International University of Art and Design,Miami,FL,3,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,3167,0.0549,0.0268,0.4642,0.0051,0,0,0.0025,0.0013,0.4452,0.234,NULL,25642,0.5676,0.5375,NULL,0.3889,NULL,0.7453,0.3262,31535,350.1031468,0.509079118,0.413951954,NULL,29300,0.460408151
ITT Technical Institute-Tampa,Tampa,FL,2,3,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,463,0.4471,0.2009,0.2484,0.0216,0.0043,0,0.0346,0,0.0432,0.3218,NULL,23227,0.6758,NULL,NULL,NULL,NULL,0.7737,0.7732,25833.5,286.8048087,0.394119686,0.3389,NULL,38400,0.591855824
Jacksonville University,Jacksonville,FL,3,2,11,500,510,NULL,22,NULL,NULL,NULL,1010,0,3360,0.489,0.1607,0.0708,0.0321,0.011,0.0021,0,0.0286,0.2057,0.3467,NULL,21216,0.2938,0.7172,NULL,0.75,NULL,0.5116,0.4289,22334,247.9531847,0.796752226,0.39385121,NULL,47700,0.696640313
Jones College-Jacksonville,Jacksonville,FL,2,2,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,445,0.1775,0.7258,0.0382,0.0022,0.0045,0,0.0315,0,0.0202,0.8562,NULL,13007,0.7778,0.5,NULL,0.5,NULL,0.8393,0.8241,38291,425.1085966,0.412408759,0.2973,NULL,28300,0.497326195
Keiser University-Ft Lauderdale,Fort Lauderdale,FL,2,2,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,15788,0.4047,0.2009,0.3072,0.0198,0.0026,0.0004,0.0364,0.0027,0.0253,0.2464,NULL,22933,0.5957,0.7353,NULL,0.3827,NULL,0.6553,0.6309,27500,305.306375,0.468016739,0.562311111,NULL,29600,0.549784839
Keiser University-Melbourne,Melbourne,FL,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27500,305.306375,0.468016739,NULL,NULL,29600,0.549784839
Keiser University-Tallahassee,Tallahassee,FL,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27500,305.306375,0.468016739,NULL,NULL,29600,0.549784839
Keiser University-Daytona,Daytona Beach,FL,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27500,305.306375,0.468016739,NULL,NULL,29600,0.549784839
Keiser University-Lakeland,Lakeland,FL,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27500,305.306375,0.468016739,NULL,NULL,29600,0.549784839
Keiser University- Miami,Miami,FL,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27500,305.306375,0.468016739,NULL,NULL,29600,0.549784839
Keiser University-Orlando,Orlando,FL,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27500,305.306375,0.468016739,NULL,NULL,29600,0.549784839
Keiser University-Sarasota,Sarasota,FL,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27500,305.306375,0.468016739,NULL,NULL,29600,0.549784839
Keiser University-Jacksonville,Jacksonville,FL,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27500,305.306375,0.468016739,NULL,NULL,29600,0.549784839
Keiser University-Tampa,Tampa,FL,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27500,305.306375,0.468016739,NULL,NULL,29600,0.549784839
