NAME OF DATA ELEMENT,VARIABLE NAME,VALUE,LABEL,SOURCE,NOTES
Total share of enrollment of undergraduate degree-seeking students who are black,UGDS_BLACK,,,IPEDS,Pre2009_IPEDS
Total share of enrollment of undergraduate degree-seeking students who are Hispanic,UGDS_HISP,,,IPEDS,
Total share of enrollment of undergraduate degree-seeking students who are Asian,UGDS_ASIAN,,,IPEDS,
Total share of enrollment of undergraduate degree-seeking students who are American Indian/Alaska Native,UGDS_AIAN,,,IPEDS,
Total share of enrollment of undergraduate degree-seeking students who are Native Hawaiian/Pacific Islander,UGDS_NHPI,,,IPEDS,
Total share of enrollment of undergraduate degree-seeking students who are two or more races,UGDS_2MOR,,,IPEDS,
Total share of enrollment of undergraduate degree-seeking students who are non-resident aliens,UGDS_NRA,,,IPEDS,
Total share of enrollment of undergraduate degree-seeking students whose race is unknown,UGDS_UNKN,,,IPEDS,
"Share of undergraduate, degree-/certificate-seeking students who are part-time",PPTUG_EF, ,,IPEDS,"The proportion of degree/certificate-seeking undergraduates enrolled part time in the fall term, calculated from the IPEDS Fall Enrollment component. This metric does not apply during 2000-01, when degree/certificate-seeking status was not collected. It is calculated as the number of part-time, degree/certificate-seeking undergraduates divided by the number of degree/certificate-seeking undergraduates. It includes non-first-time undergraduates. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent.
"
Average net price for Title IV institutions (public institutions),NPT4_PUB,,,IPEDS,"The average annual total cost of attendance (CostT4_A, CostT4_P), including tuition and fees, books and supplies, and living expenses, minus the average grant/scholarship aid. It is calculated for all full-time, first-time, degree/certificate-seeking undergraduates who receive Title IV aid. It is included in the IPEDS Student Financial Aid component. Separate metrics are calculated for public institutions and private institutions. For academic-year institutions, net price represents an average of all programs and includes only undergraduates who first enrolled in the fall term. For non-academic-year institutions (program or continuous enrollment), net price represents the program with the largest enrollment at the institution for the length of the full program, regardless of program length (see LProgram), and it includes undergraduates who first enrolled at any time during the academic year. For public institutions, this metric is limited to undergraduates who pay in-state tuition and receive Title IV aid. For private institutions, it includes all undergraduates who receive Title IV aid. The total cost of attendance depends on whether undergraduates live on campus, off campus (not with family), or off campus (with family)."
Average net price for Title IV institutions (private for-profit and nonprofit institutions),NPT4_PRIV,,,IPEDS,
Percentage of undergraduates who receive a Pell Grant,PCTPELL, ,,IPEDS,"The proportion of undergraduates who received a Pell grant in the academic year, calculated from the IPEDS Student Financial Aid component. This metric is calculated by IPEDS as the quotient of the number of Pell grant recipients divided by the count of all undergraduates for either a fall enrollment cohort (for institutions that primarily follow an academic year calendar system) or a full-year enrollment cohort (for institutions that primarily follow a continuous enrollment or program-based calendar system). Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent. This metric is not available prior to the 2008â€“09 academic year.
"
"First-time, full-time student retention rate at four-year institutions",RET_FT4,,,IPEDS,"The proportion of full-time, first-time, degree/certificate-seeking undergraduates who were enrolled at the institution in the fall 1 year after starting at the institution, calculated from the IPEDS Fall Enrollment component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. The retention rate is calculated as the number of full-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall term of the current academic year divided by the number of full-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall of the prior academic year. This metric is not available prior to the 2004â€“05 academic year. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent."
"First-time, full-time student retention rate at less-than-four-year institutions",RET_FTL4,,,IPEDS,
"First-time, part-time student retention rate at four-year institutions",RET_PT4,,,IPEDS,"The proportion of part-time, first-time, degree/certificate-seeking undergraduates who were enrolled at the institution in the fall 1 year after starting at the institution, calculated from the IPEDS Fall Enrollment component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. The retention rate is calculated as the number of part-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall term of the current academic year divided by the number of part-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall of the prior academic year. This metric is not available prior to the 2004â€“05 academic year. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent.
"
"First-time, part-time student retention rate at less-than-four-year institutions",RET_PTL4,,,IPEDS,
Percent of all federal undergraduate students receiving a federal student loan,PCTFLOAN, ,,IPEDS,"The proportion of undergraduates who received a federal loan in the academic year, calculated from values from the IPEDS Student Financial Aid component. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent. This metric is not available prior to the 2009â€“10 academic year.
"
Percentage of undergraduates aged 25 and above,UG25abv, ,,IPEDS,The proportion of undergraduates who are aged 25 or older
"Median debt of completers, suppressed for n=30",GRAD_DEBT_MDN_SUPP,,,NSLDS,
"Median debt of completers expressed in 10-year monthly payments, suppressed for n=30",GRAD_DEBT_MDN10YR_SUPP,,,NSLDS,
"3-year repayment rate, suppressed for n=30",RPY_3YR_RT_SUPP,,,NSLDS,
"150% completion rate for four-year institutions, pooled in two-year rolling averages and suppressed for small n size.  For four year school, students are considered to have graduated ""on time"" if they graduate within 6 years.",C150_4_POOLED_SUPP,,,IPEDS,What fraction of students completed within 150% of the time needed to complete graduation requirements
"200% completion rate for less-than-four-year institutions, pooled in two-year rolling averages and suppressed for small n size.  For two year schools, students are considered to have graduated ""on time"" if they graduate within 4 years.",C200_L4_POOLED_SUPP,,,IPEDS,What fraction of students completed within 200% of the time needed to complete graduation requirements
Median earnings of students working and not enrolled 10 years after entry,md_earn_wne_p10,,,Treasury,
"Share of students earning over $25,000/year (threshold earnings) 6 years after entry",gt_25k_p6,,,Treasury,
